epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
36,254.223,0.92477,1.67792,0.33353,0.36022,0.02533,6.57991,0.99813,0.96552,0.99219,0.56053,0.96528,0.95895,0.97805,0.57978,1.79311,2.09779,0.24647,0.45913,0.0825,0,0.001307,0.001307,0.001307
37,260.57,0.95987,1.59255,0.35426,0.36608,0.02342,5.89022,0.96232,0.96552,0.99203,0.82285,0.96232,0.96552,0.97065,0.72958,0.77212,1.43132,0.23739,0.30957,0.0344,0,0.0012872,0.0012872,0.0012872
38,266.928,1.07646,1.59321,0.33616,0.37063,0.02788,6.0651,0.93327,1,0.98267,0.73221,0.93327,1,0.97667,0.73739,1.02498,1.43124,0.23018,0.35756,0.04619,0,0.0012674,0.0012674,0.0012674
39,273.235,0.87551,1.31486,0.35195,0.32983,0.0217,5.51264,0.96661,0.9983,0.993,0.70959,0.96661,0.9983,0.96767,0.74331,1.15907,1.33957,0.20383,0.32406,0.05244,0,0.0012476,0.0012476,0.0012476
40,279.638,0.87538,1.35372,0.32659,0.32097,0.02098,5.30278,0.98896,1,0.995,0.78981,0.96392,1,0.97433,0.71911,0.86647,1.37908,0.15038,0.35134,0.03907,0,0.0012278,0.0012278,0.0012278
41,286.021,0.84973,1.28587,0.32441,0.33363,0.02117,5.36879,0.94469,0.93103,0.9783,0.66112,0.94469,0.93103,0.97437,0.78162,1.30067,1.16479,0.17942,0.78418,0.06073,0,0.001208,0.001208,0.001208
42,292.398,0.88122,1.56647,0.33533,0.35009,0.02194,5.50324,0.97913,0.89655,0.97257,0.77048,0.92861,0.89707,0.9648,0.83198,0.87908,1.05569,0.20297,0.55045,0.04,0,0.0011882,0.0011882,0.0011882
43,298.724,0.75818,1.10802,0.33249,0.31039,0.01868,5.37847,1,0.92156,0.98117,0.83843,0.89703,0.9013,0.97198,0.814,0.62545,1.01447,0.17428,0.53364,0.02756,0,0.0011684,0.0011684,0.0011684
44,305.244,0.85263,1.27983,0.32739,0.31089,0.02104,5.38184,0.81634,0.93103,0.97331,0.78525,0.8126,0.93103,0.93378,0.74742,0.81583,1.15276,0.17113,0.89616,0.03669,0,0.0011486,0.0011486,0.0011486
45,311.587,0.82777,1.27592,0.33175,0.32252,0.01983,5.32348,0.96463,1,0.97233,0.78657,0.96463,1,0.96867,0.81336,0.86074,1.02992,0.19285,0.28232,0.03904,0,0.0011288,0.0011288,0.0011288
46,317.91,0.80893,1.26832,0.33023,0.32962,0.01986,5.45873,0.96487,1,0.99167,0.91613,0.96487,1,0.96867,0.83008,0.47656,1.04357,0.19166,0.17933,0.02089,0,0.001109,0.001109,0.001109
47,324.335,0.71649,1.15672,0.32292,0.28251,0.01778,5.09136,0.96659,0.99779,0.99167,0.87144,0.96659,0.99779,0.964,0.85518,0.64307,0.92507,0.18982,0.24003,0.02819,0,0.0010892,0.0010892,0.0010892
48,330.661,0.81246,1.07697,0.31299,0.29089,0.02038,4.8215,0.93511,0.99402,0.98613,0.87741,0.93511,0.99402,0.96006,0.82779,0.57938,0.98871,0.20204,0.26699,0.0259,0,0.0010694,0.0010694,0.0010694
49,337.064,0.7531,1.26172,0.30432,0.27214,0.01906,5.19871,0.96495,1,0.99167,0.80231,0.96495,1,0.96767,0.82706,0.85198,1.01999,0.27963,0.25909,0.03888,0,0.0010496,0.0010496,0.0010496
50,343.366,0.78231,1.22588,0.2925,0.27509,0.01947,5.44346,0.96655,0.99653,0.993,0.84652,0.96655,0.99653,0.964,0.76162,0.66027,1.25258,0.26669,0.23637,0.02964,0,0.0010298,0.0010298,0.0010298
51,349.621,0.68935,1.14983,0.29926,0.27296,0.01616,5.40093,0.93144,1,0.98596,0.82851,0.96651,0.99539,0.98933,0.85671,0.73285,1.0037,0.22176,0.28067,0.03293,0,0.00101,0.00101,0.00101
52,355.904,0.72784,1.17824,0.29717,0.27302,0.01756,4.85178,0.96649,0.99458,0.99067,0.82979,0.96649,0.99458,0.98467,0.75738,0.76244,1.32922,0.20414,0.26785,0.03496,0,0.0009902,0.0009902,0.0009902
53,362.224,0.7707,1.11695,0.31747,0.27386,0.02022,5.19601,0.96464,1,0.98467,0.86589,0.96464,1,0.96633,0.84456,0.61358,0.99894,0.21827,0.22853,0.02715,0,0.0009704,0.0009704,0.0009704
54,368.534,0.70272,1.15396,0.30442,0.28757,0.01704,4.87271,0.90559,0.99243,0.97925,0.81108,0.90559,0.99243,0.97156,0.81852,0.77741,1.01752,0.26945,0.3393,0.03448,0,0.0009506,0.0009506,0.0009506
55,374.793,0.89187,1.08084,0.31076,0.29313,0.02179,5.4095,0.96458,1,0.98833,0.79147,0.96458,1,0.994,0.85255,0.88173,1.00957,0.2474,0.26859,0.04001,0,0.0009308,0.0009308,0.0009308
56,381.215,0.7597,1.06514,0.2959,0.25576,0.01759,4.77037,0.96418,1,0.98267,0.8569,0.96418,1,0.96183,0.84368,0.64558,0.98247,0.19972,0.22019,0.02862,0,0.000911,0.000911,0.000911
57,387.591,0.80633,1.06058,0.29548,0.26703,0.01935,4.71745,0.96489,1,0.98033,0.80685,0.96489,1,0.964,0.85666,0.73196,0.89904,0.20255,0.23497,0.03251,0,0.0008912,0.0008912,0.0008912
58,394.018,0.80978,0.99381,0.30089,0.24694,0.02069,4.55985,0.96456,1,0.98467,0.88186,0.96456,1,0.96533,0.86853,0.56649,0.93358,0.2311,0.20705,0.02493,0,0.0008714,0.0008714,0.0008714
59,400.57,0.67586,1.08618,0.27542,0.24372,0.01568,4.56929,0.96471,1,0.98133,0.86188,0.96471,1,0.96533,0.86516,0.61499,0.96714,0.24138,0.20526,0.02654,0,0.0008516,0.0008516,0.0008516
60,406.915,0.66328,0.90131,0.28264,0.24563,0.01645,4.48292,0.93399,1,0.98133,0.85074,0.93399,1,0.964,0.88586,0.68102,0.88595,0.2548,0.25745,0.03016,0,0.0008318,0.0008318,0.0008318
61,413.363,0.63981,0.96643,0.29518,0.2224,0.01533,4.3928,0.96441,1,0.97567,0.84996,0.96441,1,0.96183,0.88091,0.68144,0.86357,0.2391,0.22742,0.03016,0,0.000812,0.000812,0.000812
62,419.747,0.66834,0.90106,0.30175,0.23106,0.01563,4.19414,0.96509,1,0.97567,0.837,0.96509,1,0.963,0.87278,0.70781,0.93128,0.22909,0.2544,0.03105,0,0.0007922,0.0007922,0.0007922
63,426.121,0.61053,0.89977,0.29429,0.23748,0.01412,3.91759,0.96475,1,0.964,0.78613,0.96475,1,0.96183,0.89192,0.8356,0.86758,0.23086,0.25047,0.03773,0,0.0007724,0.0007724,0.0007724
64,432.479,0.6693,0.88644,0.2885,0.28543,0.01608,3.87148,0.96495,1,0.96533,0.75802,0.96495,1,0.96633,0.89257,0.95747,0.84556,0.21822,0.28408,0.044,0,0.0007526,0.0007526,0.0007526
65,438.85,0.71283,1.03566,0.29915,0.24002,0.01735,4.55978,0.96147,1,0.97567,0.832,0.96147,1,0.964,0.85513,0.62239,0.95016,0.20376,0.26438,0.02732,0,0.0007328,0.0007328,0.0007328
66,445.241,0.68314,0.90978,0.29905,0.2538,0.01733,4.30059,0.96605,1,0.986,0.87013,0.96605,1,0.96533,0.86594,0.62478,0.91218,0.22054,0.25717,0.02726,0,0.000713,0.000713,0.000713
67,451.485,0.66422,0.87266,0.28067,0.25882,0.0162,4.06168,0.93326,0.96448,0.97912,0.84311,0.93326,0.96448,0.95679,0.84164,0.67617,0.89498,0.21226,0.35105,0.0296,0,0.0006932,0.0006932,0.0006932
68,457.785,0.62349,0.76504,0.28822,0.2249,0.01558,4.01378,0.92897,0.96552,0.96163,0.76346,0.95479,0.93103,0.98686,0.92092,0.90222,0.83333,0.20177,0.44655,0.04047,0,0.0006734,0.0006734,0.0006734
69,464.102,0.71326,0.9081,0.28272,0.29944,0.01821,4.18544,0.95487,0.96552,0.97426,0.74834,0.95487,0.96552,0.96598,0.86597,1.03747,0.91135,0.22161,0.47876,0.04752,0,0.0006536,0.0006536,0.0006536
70,470.511,0.68461,0.90053,0.28826,0.24263,0.01788,4.34284,0.96648,0.99429,0.97433,0.77538,0.96648,0.99429,0.96867,0.88625,0.84129,0.8462,0.21313,0.32696,0.03806,0,0.0006338,0.0006338,0.0006338
71,476.823,0.62933,0.79078,0.27636,0.25994,0.01497,4.16242,0.92742,1,0.97065,0.81546,0.92742,1,0.96444,0.87919,0.68225,0.88106,0.23967,0.30612,0.03069,0,0.000614,0.000614,0.000614
72,483.254,0.71051,1.12766,0.29032,0.26145,0.01751,4.3602,0.96489,1,0.978,0.87583,0.99021,1,0.995,0.90758,0.55956,0.89907,0.27189,0.22506,0.0249,0,0.0005942,0.0005942,0.0005942
73,489.856,0.70618,0.87012,0.27941,0.25092,0.01735,4.04592,0.96366,1,0.99167,0.88502,0.96366,1,0.97667,0.87309,0.52264,0.93761,0.23225,0.19673,0.02246,0,0.0005744,0.0005744,0.0005744
74,496.257,0.62748,0.81941,0.28233,0.23792,0.01466,4.06675,0.96478,1,0.98467,0.84501,0.96478,1,0.96633,0.81917,0.63965,1.05349,0.20412,0.21696,0.0284,0,0.0005546,0.0005546,0.0005546
75,502.602,0.68854,0.81122,0.27845,0.2239,0.01615,4.05077,0.96663,0.99882,0.98367,0.80596,0.96663,0.99882,0.971,0.84384,0.74633,1.00188,0.20562,0.2575,0.03365,0,0.0005348,0.0005348,0.0005348
76,508.955,0.68751,0.85078,0.29543,0.27806,0.01726,4.26845,0.9647,1,0.98267,0.79859,0.9647,1,0.971,0.89154,0.79863,0.86967,0.19191,0.2749,0.03603,0,0.000515,0.000515,0.000515
77,515.35,0.60327,0.83362,0.2695,0.23322,0.01448,3.7681,0.96661,0.99823,0.98467,0.85204,0.96661,0.99823,0.97567,0.90827,0.62748,0.82168,0.1956,0.23321,0.02826,0,0.0004952,0.0004952,0.0004952
78,521.857,0.58829,0.71077,0.25853,0.21568,0.01444,3.76948,0.96459,1,0.98933,0.87308,0.96459,1,0.979,0.92668,0.56556,0.81214,0.20502,0.20434,0.02519,0,0.0004754,0.0004754,0.0004754
79,528.428,0.64016,0.76444,0.25883,0.23642,0.01508,3.63152,0.96648,0.99426,0.98833,0.85453,0.96648,0.99426,0.978,0.90704,0.59953,0.81205,0.21403,0.22779,0.02655,0,0.0004556,0.0004556,0.0004556
80,534.869,0.61055,0.69308,0.26578,0.22361,0.015,3.85397,0.9666,0.99804,0.99067,0.83499,0.9666,0.99804,0.97567,0.90593,0.69349,0.83765,0.21603,0.24319,0.03039,0,0.0004358,0.0004358,0.0004358
81,541.245,0.61451,0.74203,0.27336,0.22237,0.01461,3.69455,0.96482,1,0.986,0.82353,0.96482,1,0.98267,0.92506,0.75824,0.85278,0.2102,0.2347,0.03353,0,0.000416,0.000416,0.000416
82,547.664,0.63293,0.73974,0.26426,0.21808,0.01526,3.92569,0.96489,1,0.98833,0.82077,0.96489,1,0.987,0.93254,0.75045,0.84376,0.2028,0.23959,0.03358,0,0.0003962,0.0003962,0.0003962
83,554.073,0.62291,0.86234,0.26588,0.23627,0.01576,4.23578,0.96662,0.99848,0.98367,0.83568,0.96662,0.99848,0.98467,0.92858,0.72374,0.82459,0.19358,0.26176,0.03263,0,0.0003764,0.0003764,0.0003764
84,560.469,0.57743,0.60648,0.27322,0.21599,0.0138,3.55393,0.96606,1,0.98267,0.8268,0.96606,1,0.98033,0.90725,0.74626,0.81575,0.1953,0.26144,0.0338,0,0.0003566,0.0003566,0.0003566
85,566.923,0.58126,0.86687,0.25872,0.22676,0.01376,3.86483,0.96649,0.99469,0.98367,0.8418,0.96649,0.99469,0.98033,0.90688,0.69515,0.81599,0.1959,0.2641,0.03126,0,0.0003368,0.0003368,0.0003368
86,573.338,0.61624,0.78794,0.26869,0.2273,0.01518,3.58714,0.96529,1,0.98467,0.87864,0.96529,1,0.98267,0.92004,0.56914,0.81112,0.19319,0.20995,0.02529,0,0.000317,0.000317,0.000317
87,579.727,0.547,0.65818,0.26514,0.21347,0.01293,3.29386,0.96661,0.99825,0.98467,0.88961,0.96661,0.99825,0.98133,0.91983,0.54604,0.80962,0.19571,0.21557,0.02401,0,0.0002972,0.0002972,0.0002972
88,586.334,0.54185,0.66247,0.26576,0.18955,0.01247,3.26792,0.96285,1,0.98833,0.87018,0.96285,1,0.979,0.91811,0.63093,0.83012,0.19518,0.22668,0.02801,0,0.0002774,0.0002774,0.0002774
89,593.581,0.59596,0.5992,0.26966,0.19783,0.01467,3.40677,0.96555,1,0.99067,0.84753,0.96555,1,0.979,0.90309,0.7034,0.87111,0.18938,0.23875,0.03189,0,0.0002576,0.0002576,0.0002576
90,603.221,0.57562,0.59659,0.262,0.20876,0.01396,3.37039,0.9642,1,0.99067,0.85033,0.9642,1,0.978,0.90657,0.70892,0.8691,0.18966,0.23448,0.0321,0,0.0002378,0.0002378,0.0002378
91,667.07,0.79259,0.35416,0.30634,0.76494,0.03012,3.87757,0.95812,1,0.98833,0.8479,0.95812,1,0.97433,0.91263,0.67559,0.86196,0.18458,0.25733,0.03039,0,0.000218,0.000218,0.000218
92,678.215,0.63565,0.34406,0.29746,0.48295,0.02375,4.02002,0.96658,0.99752,0.98467,0.87055,0.96658,0.99752,0.971,0.90705,0.52806,0.87144,0.17271,0.23222,0.02326,0,0.0001982,0.0001982,0.0001982
93,689.345,0.52268,0.31094,0.25841,0.31538,0.01874,3.50975,0.96168,0.96552,0.98134,0.89056,0.96168,0.96552,0.96927,0.9098,0.47856,0.81741,0.17257,0.26213,0.02063,0,0.0001784,0.0001784,0.0001784
94,700.406,0.50647,0.31026,0.27185,0.26575,0.01789,3.62686,0.96638,0.99131,0.98133,0.86168,0.96638,0.99131,0.96767,0.89044,0.58005,0.85647,0.18593,0.25771,0.02534,0,0.0001586,0.0001586,0.0001586
95,711.277,0.62544,0.37172,0.26001,0.25027,0.02264,4.04466,0.96425,1,0.98467,0.86079,0.96425,1,0.96867,0.87894,0.60877,0.8771,0.19303,0.22223,0.02677,0,0.0001388,0.0001388,0.0001388
96,716.938,0.57301,0.30958,0.27742,0.19688,0.02101,3.5056,0.96426,1,0.97667,0.85465,0.96426,1,0.96867,0.89106,0.59966,0.85841,0.20442,0.2143,0.02636,0,0.000119,0.000119,0.000119
97,722.598,0.61104,0.37985,0.26535,0.21204,0.02274,3.79553,0.9646,1,0.97333,0.87388,0.9646,1,0.96767,0.89702,0.53724,0.84042,0.20251,0.20524,0.02357,0,9.92e-05,9.92e-05,9.92e-05
98,728.692,0.57595,0.3589,0.25439,0.20526,0.02148,3.86912,0.96447,1,0.97233,0.87479,0.96447,1,0.96767,0.89434,0.51629,0.83209,0.19096,0.19851,0.02258,0,7.94e-05,7.94e-05,7.94e-05
99,734.607,0.53174,0.33085,0.24959,0.16077,0.01961,3.81496,0.96452,1,0.971,0.87668,0.96452,1,0.96767,0.89455,0.51753,0.83016,0.18676,0.19714,0.02266,0,5.96e-05,5.96e-05,5.96e-05
100,740.719,0.50942,0.32374,0.2428,0.18549,0.01828,3.64064,0.96467,1,0.97,0.87475,0.96467,1,0.96767,0.90009,0.52979,0.8259,0.17639,0.19754,0.02321,0,3.98e-05,3.98e-05,3.98e-05
