epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
40,1447.77,0.49581,1.1352,0.18002,0.18905,0.01111,3.976,0.97496,1,0.99174,0.88376,0.97496,1,0.99072,0.84458,0.53398,0.80353,0.20786,0.20711,0.02468,0,0.0012278,0.0012278,0.0012278
41,1483.94,0.49323,1.07414,0.16935,0.18688,0.01108,3.86932,0.98489,0.99259,0.99082,0.87717,0.98489,0.99259,0.98937,0.88045,0.59331,0.73126,0.16937,0.21884,0.02727,0,0.001208,0.001208,0.001208
42,1519.78,0.47448,1.04204,0.17786,0.18547,0.0109,3.83845,0.97999,0.99438,0.99423,0.93217,0.97999,0.99438,0.99094,0.87332,0.41592,0.72462,0.20281,0.17119,0.0187,0,0.0011882,0.0011882,0.0011882
43,1555.47,0.48322,1.04392,0.17627,0.18776,0.01119,3.73052,0.99327,0.99492,0.99454,0.88287,0.99327,0.99492,0.9918,0.88075,0.55594,0.70962,0.1856,0.19382,0.02547,0,0.0011684,0.0011684,0.0011684
44,1590.94,0.48568,1.05633,0.17978,0.18128,0.01123,3.85657,0.98008,0.99907,0.99027,0.90453,0.98008,0.99907,0.99095,0.88849,0.48064,0.67669,0.15443,0.18913,0.02188,0,0.0011486,0.0011486,0.0011486
45,1626.43,0.47054,1.04183,0.16987,0.18903,0.01078,3.81007,0.98339,1,0.98896,0.88896,0.98339,1,0.98632,0.88734,0.53554,0.68025,0.18518,0.1969,0.02454,0,0.0011288,0.0011288,0.0011288
46,1662.52,0.47561,1.03921,0.17541,0.1916,0.01095,3.6982,0.98947,1,0.99228,0.89954,0.98947,1,0.98951,0.88726,0.50081,0.67979,0.22123,0.1892,0.02279,0,0.001109,0.001109,0.001109
47,1698.09,0.45773,1.06608,0.17283,0.19222,0.01019,3.88564,0.97433,1,0.99063,0.91857,0.97433,1,0.98646,0.87942,0.41962,0.70674,0.1713,0.18144,0.01899,0,0.0010892,0.0010892,0.0010892
48,1733.9,0.44259,1.02806,0.1743,0.17116,0.00991,3.69061,0.98908,1,0.98606,0.88044,0.98908,1,0.98606,0.89017,0.55031,0.67533,0.17075,0.21148,0.02523,0,0.0010694,0.0010694,0.0010694
49,1770.5,0.46485,0.9525,0.17023,0.18503,0.0105,3.63782,0.98002,0.99608,0.98756,0.88701,0.98002,0.99608,0.98822,0.88098,0.54039,0.68397,0.20999,0.21585,0.02475,0,0.0010496,0.0010496,0.0010496
50,1806.71,0.45019,0.99299,0.16556,0.18054,0.01005,3.61918,0.98886,1,0.98902,0.88563,0.98886,1,0.99141,0.88544,0.53181,0.68383,0.19976,0.19666,0.02442,0,0.0010298,0.0010298,0.0010298
51,1842.73,0.44514,1.00123,0.16996,0.18429,0.00997,3.68541,0.98989,0.99437,0.99336,0.92237,0.98989,0.99437,0.99293,0.8879,0.44727,0.71405,0.18176,0.18178,0.0202,0,0.00101,0.00101,0.00101
52,1879.19,0.42052,0.96611,0.16388,0.17939,0.00944,3.64633,0.98921,0.98985,0.99013,0.91773,0.98921,0.98985,0.99278,0.88715,0.43982,0.67997,0.19396,0.1804,0.01999,0,0.0009902,0.0009902,0.0009902
