epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
48,1882.94,0.49629,1.01392,0.17235,0.18551,0.01142,3.44804,0.97988,0.99408,0.99102,0.89392,0.97485,0.98898,0.98689,0.87225,0.50095,0.63544,0.16316,0.19957,0.02303,0,0.0010694,0.0010694,0.0010694
49,1922.71,0.46772,0.95433,0.15915,0.17704,0.01054,3.43417,0.99065,0.9898,0.99136,0.90947,0.99065,0.9898,0.99054,0.88404,0.45703,0.62934,0.17398,0.17505,0.02079,0,0.0010496,0.0010496,0.0010496
50,1961.87,0.48133,1.01185,0.1678,0.18699,0.01116,3.6112,0.98963,0.97402,0.99144,0.88546,0.98963,0.97402,0.98955,0.87351,0.51598,0.64122,0.164,0.22396,0.02394,0,0.0010298,0.0010298,0.0010298
51,2002.08,0.47348,0.94726,0.15908,0.17686,0.01076,3.39523,0.98894,1,0.99166,0.8967,0.98894,1,0.98972,0.86993,0.46211,0.63726,0.14757,0.17808,0.02115,0,0.00101,0.00101,0.00101
52,2042.02,0.46191,0.93334,0.17179,0.18659,0.01051,3.32811,0.97999,0.99964,0.99252,0.91474,0.97999,0.99964,0.98993,0.87229,0.42034,0.63496,0.1501,0.16273,0.01917,0,0.0009902,0.0009902,0.0009902
53,2081.13,0.43739,0.95076,0.17067,0.17319,0.00982,3.29799,0.98484,0.99402,0.99307,0.92956,0.98484,0.99402,0.99007,0.88696,0.38993,0.60971,0.19367,0.17213,0.01757,0,0.0009704,0.0009704,0.0009704
54,2120.79,0.45625,0.97765,0.16981,0.18239,0.01029,3.41627,0.97925,1,0.9931,0.89279,0.97925,1,0.99047,0.88075,0.49356,0.60881,0.17527,0.18198,0.02278,0,0.0009506,0.0009506,0.0009506
55,2160.33,0.45066,0.92884,0.16932,0.17588,0.0101,3.23835,0.9913,0.9898,0.99285,0.91841,0.9913,0.9898,0.99157,0.88649,0.4393,0.62184,0.15601,0.16896,0.0201,0,0.0009308,0.0009308,0.0009308
56,2197.83,0.4303,0.93005,0.1663,0.16612,0.00962,3.15767,0.9899,0.99971,0.99295,0.89975,0.9899,0.99971,0.99028,0.88071,0.51148,0.61987,0.15733,0.16974,0.02308,0,0.000911,0.000911,0.000911
57,2235.64,0.44893,0.90252,0.16717,0.17865,0.00992,3.03923,0.99431,1,0.99241,0.92015,0.99431,1,0.99069,0.87915,0.42016,0.62279,0.15,0.1456,0.01906,0,0.0008912,0.0008912,0.0008912
